,X,Y,Z,R,G,B,names
175,32.4007,1.19709,3.23571,0.789119,2.71063,4.44353,AVFL
176,32.9382,-1.93427,3.50463,0.998578,2.69601,3.39139,AVFR
177,35.7046,0.131854,2.72722,1.9183,4.72898,-0.12677,RIFL
178,36.8139,-1.6831,3.07335,17.5389,26.0718,3.86461,DB2
179,41.5722,-0.490164,2.03645,22.5726,7.29721,4.02398,VB1
180,42.1747,-3.34084,2.09609,2.13993,4.77549,-0.0988544,RIFR
181,44.1124,-0.112942,1.98198,14.6283,14.2321,0.491091,VA1
182,48.0832,-0.461917,0.176029,-1.47215,1.83459,16.9462,VD1
183,49.1712,0.0980694,0.584262,19.1829,1.22483,17.0982,RIGL
184,51.3745,-1.25105,0.160145,19.8316,1.34923,17.0406,RIGR
185,54.2912,-2.92024,-0.256636,0.54558,17.9931,16.7031,AVG
186,54.8175,-2.53217,0.660349,18.4866,23.2032,3.98358,DB1
187,54.8483,-3.02927,-0.317211,1.71714,25.8474,-0.597046,SABD
188,57.0763,-0.805285,-0.394892,0.525422,14.9008,15.8044,DD1
189,58.1258,0.41018,-0.488291,0.985732,19.2058,-0.225985,AS1
190,61.0784,-2.74207,-1.29042,4.96824,28.062,-0.119685,DA1
191,63.6359,-2.9294,-1.38032,-1.69692,2.36561,18.3251,VD2
192,84.118,-1.13802,-2.44275,20.5094,9.82436,-0.11288,VA2
193,89.666,-0.89416,-3.07554,18.1604,5.01514,12.5894,VB3
194,103.679,0.785052,-5.63923,0.814432,23.704,-0.96705,AS2
